sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB113	1.0	NC_000962.3	1	4411532	4513488	641256	14.5359	119.847	39.6	60
Yale-TB149	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB149	0.125	NC_000962.3	1	4411532	6	519	0.0117646	0.000195624	39.3	60
Yale-TB149	0.1	NC_000962.3	1	4411532	2	186	0.00421622	6.23366e-05	39.7	60
Yale-TB149	0.25	NC_000962.3	1	4411532	11	854	0.0193584	0.000306469	39.5	60
Yale-TB149	0.5	NC_000962.3	1	4411532	14	1072	0.0242999	0.000365633	39.4	60
Yale-TB149	1.0	NC_000962.3	1	4411532	21	1360	0.0308283	0.000534282	39.4	60
Yale-TB115	0.05	NC_000962.3	1	4411532	694877	715823	16.2262	19.6973	39.6	60
Yale-TB115	0.125	NC_000962.3	1	4411532	1739142	1071376	24.2858	49.3044	39.6	60
Yale-TB115	0.1	NC_000962.3	1	4411532	1390736	971071	22.0121	39.4261	39.6	60
Yale-TB115	0.25	NC_000962.3	1	4411532	3478868	1446200	32.7823	98.6395	39.6	60
Yale-TB115	0.5	NC_000962.3	1	4411532	6956425	1904999	43.1823	197.248	39.6	60
Yale-TB115	1.0	NC_000962.3	1	4411532	13918751	2428819	55.0561	394.675	39.6	60
Yale-TB133	0.05	NC_000962.3	1	4411532	737648	3387999	76.7987	21.6129	39.6	60
Yale-TB133	0.125	NC_000962.3	1	4411532	1844176	3860248	87.5036	54.0457	39.6	60
Yale-TB133	0.1	NC_000962.3	1	4411532	1474947	3769504	85.4466	43.2265	39.6	60
Yale-TB133	0.25	NC_000962.3	1	4411532	3690490	4058853	92.0055	108.128	39.6	60
Yale-TB133	0.5	NC_000962.3	1	4411532	7384100	4167695	94.4727	216.331	39.6	60
Yale-TB133	1.0	NC_000962.3	1	4411532	14772609	4229134	95.8654	432.788	39.6	60
Yale-TB117	0.05	NC_000962.3	1	4411532	665984	688572	15.6085	19.0108	39.6	60
Yale-TB117	0.125	NC_000962.3	1	4411532	1664238	1027097	23.2821	47.5125	39.6	60
Yale-TB117	0.1	NC_000962.3	1	4411532	1332185	934583	21.185	38.031	39.6	60
Yale-TB117	0.25	NC_000962.3	1	4411532	3330436	1381511	31.3159	95.0665	39.6	60
Yale-TB117	0.5	NC_000962.3	1	4411532	6663243	1846119	41.8476	190.219	39.6	60
Yale-TB117	1.0	NC_000962.3	1	4411532	13323553	2388715	54.1471	380.345	39.6	60
Yale-TB139	0.05	NC_000962.3	1	4411532	87	7697	0.174475	0.00251455	39.6	60
Yale-TB139	0.125	NC_000962.3	1	4411532	201	17123	0.388142	0.00572568	39.6	60
Yale-TB139	0.1	NC_000962.3	1	4411532	169	14400	0.326417	0.00485818	39.6	60
Yale-TB139	0.25	NC_000962.3	1	4411532	364	31537	0.714876	0.0104098	39.5	60
Yale-TB139	0.5	NC_000962.3	1	4411532	854	70936	1.60797	0.0242972	39.5	60
Yale-TB139	1.0	NC_000962.3	1	4411532	1714	134684	3.053	0.0485843	39.5	60
Yale-TB147	0.05	NC_000962.3	1	4411532	12103	602370	13.6544	0.340266	39.5	60
Yale-TB147	0.125	NC_000962.3	1	4411532	30416	1177568	26.6929	0.854764	39.5	60
Yale-TB147	0.1	NC_000962.3	1	4411532	24380	1012658	22.9548	0.685056	39.5	60
Yale-TB147	0.25	NC_000962.3	1	4411532	60320	1803939	40.8914	1.69593	39.5	60
Yale-TB147	0.5	NC_000962.3	1	4411532	120844	2500141	56.6729	3.39444	39.5	60
