method	meanquant	std_dev_quant	std_err_quant	meancov	std_dev_cov	std_err_cov
A	257902.4557244	257298.00333680405	81364.77279579046	44.72021	28.559634273702923	9.031349344630993
B	246990.665489707	420589.28261777974	133002.00925284496	54.1281466	42.074506817588144	13.305127297186115
C	669173.1958138	1433435.077155816	453291.97217915737	63.917289999999994	35.4105354246272	11.19779451078996
D	301170.180873605	521884.5901218704	165034.3980528522	51.391276930000004	41.09225601463057	12.994512320098597
E	101611.5966662	79049.94913866221	24997.78881986381	88.029	20.065272072247943	6.3451961619270145
F	139243.3301649	128309.97464098039	40575.176638394354	74.905	23.571152920466147	7.453853030480275
