Sample_ID	Pathogen	Template_Dilution	Assay	FAM_Target	FAM_Ct	Cy5_Target	Cy5_Ct	starting_quantity	Run_ID	Run_Date	Notes
111-10712-18	MTB		TB	lpp2	11.26			1.27E+07	TB002	2024-01-29	
111-10812-18	MTB		TB	lpp2	11.36			1.19E+07	TB002	2024-01-29	
111-2565-18	MTB		TB	lpp2	11.24			1.28E+07	TB002	2024-01-29	
111-10960-18	MTB		TB	lpp2	11.28			1.25E+07	TB002	2024-01-29	
111-10456-18	MTB		TB	lpp2	14.10			1.99E+06	TB002	2024-01-29	
111-9803-18	MTB		TB	lpp2	11.29			1.24E+07	TB002	2024-01-29	
444-2375-18	MTB		TB	lpp2	12.43			5.89E+06	TB002	2024-01-29	
444-2394-18	MTB		TB	lpp2	11.47			1.10E+07	TB002	2024-01-29	
444-1849-18	MTB		TB	lpp2	9.65			1.39E+08	TB003	2024-03-04	
444-2261-18	MTB		TB	lpp2	10.76			1.75E+07	TB002	2024-01-29	
444-2281-18	MTB		TB	lpp2	14.13			1.96E+06	TB002	2024-01-29	
444-2588-18	MTB		TB	lpp2	11.35			1.19E+07	TB002	2024-01-29	
444-1650-18	MTB		TB	lpp2	11.06			1.44E+07	TB002	2024-01-29	
444-3272-18	MTB		TB	lpp2	9.54			3.88E+07	TB002	2024-01-29	
444-3403-18	MTB		TB	lpp2	15.62			7.41E+05	TB002	2024-01-29	
444-3322-18	MTB		TB	lpp2	10.57			1.98E+07	TB002	2024-01-29	
444-3464-18	MTB		TB	lpp2	13.37			3.21E+06	TB002	2024-01-29	
111-10403-18	MTB		TB	lpp2	14.22			1.84E+06	TB002	2024-01-29	
111-8988-18	MTB		TB	lpp2	12.88			4.41E+06	TB002	2024-01-29	
111-7998-18	MTB		TB	lpp2	14.18			1.89E+06	TB002	2024-01-29	
111-7040-18	MTB		TB	lpp2	10.14			1.03E+08	TB003	2024-03-04	
444-2225-18	MTB		TB	lpp2	13.11			3.80E+06	TB002	2024-01-29	
444-2677-18	MTB		TB	lpp2	13.58			2.79E+06	TB002	2024-01-29	
444-2543-18	MTB		TB	lpp2	12.83			4.54E+06	TB002	2024-01-29	
444-2046-18	MTB		TB	lpp2	12.57			5.40E+06	TB002	2024-01-29	
444-1559-18	MTB		TB	lpp2	15.83			6.46E+05	TB002	2024-01-29	
444-2409-18	MTB		TB	lpp2	12.80			4.64E+06	TB002	2024-01-29	
444-3404-18	MTB		TB	lpp2	12.68			5.01E+06	TB002	2024-01-29	
444-2998-18	MTB		TB	lpp2	10.32			2.33E+07	TB002	2024-01-29	
444-3514-18	MTB		TB	lpp2	11.61			1.01E+07	TB002	2024-01-29	
444-3398-18	MTB		TB	lpp2	14.23			1.83E+06	TB002	2024-01-29	
444-3082-18	MTB		TB	lpp2	12.65			5.12E+06	TB002	2024-01-29	
444-2918-18	MTB		TB	lpp2	10.09			1.06E+08	TB003	2024-03-04	
111-10582-18	MTB		TB	lpp2	12.66			5.07E+06	TB002	2024-01-29	
111-10460-18	MTB		TB	lpp2	13.27			3.41E+06	TB002	2024-01-29	
111-10713-18	MTB		TB	lpp2	12.46			5.78E+06	TB002	2024-01-29	
111-10223-18	MTB		TB	lpp2	12.55			5.48E+06	TB002	2024-01-29	
111-10592-18	MTB		TB	lpp2	11.06			1.44E+07	TB002	2024-01-29	
111-10558-18	MTB		TB	lpp2	12.63			5.18E+06	TB002	2024-01-29	
111-10693-18	MTB		TB	lpp2	14.99			1.11E+06	TB002	2024-01-29	
444-3209-18	MTB		TB	lpp2	13.38			3.19E+06	TB002	2024-01-29	
444-3371-18	MTB		TB	lpp2	14.01			2.12E+06	TB002	2024-01-29	
444-3582-18	MTB		TB	lpp2	13.66			2.65E+06	TB002	2024-01-29	
444-2848-18	MTB		TB	lpp2	13.30			3.34E+06	TB002	2024-01-29	
111-8991-18	MTB		TB	lpp2	9.77			1.29E+08	TB003	2024-03-04	
111-8736-18	MTB		TB	lpp2	9.85			3.16E+07	TB002	2024-01-29	
111-8922-18	MTB		TB	lpp2	NaN			NaN	TB002	2024-01-29	
111-8263-18	MTB		TB	lpp2	12.41			5.96E+06	TB002	2024-01-29	
111-8492-18	MTB		TB	lpp2	8.85			6.06E+07	TB002	2024-01-29	
111-8323-18	MTB		TB	lpp2	15.60			7.51E+05	TB002	2024-01-29	
111-8322-18	MTB		TB	lpp2	10.00			2.87E+07	TB002	2024-01-29	
111-8372-18	MTB		TB	lpp2	10.66			1.86E+07	TB002	2024-01-29	
111-8885-18	MTB		TB	lpp2	8.49			7.67E+07	TB002	2024-01-29	
111-8385-18	MTB		TB	lpp2	10.47			2.11E+07	TB002	2024-01-29	
111-8022-18	MTB		TB	lpp2	13.56			2.83E+06	TB002	2024-01-29	
111-8091-18	MTB		TB	lpp2	13.96			2.18E+06	TB002	2024-01-29	
111-8884-18	MTB		TB	lpp2	8.66			2.54E+08	TB003	2024-03-04	
111-8244-18	MTB		TB	lpp2	11.19			1.32E+07	TB002	2024-01-29	
111-8161-18	MTB		TB	lpp2	10.51			2.05E+07	TB002	2024-01-29	
111-8849-18	MTB		TB	lpp2	8.84			6.11E+07	TB002	2024-01-29	
111-9435-18	MTB		TB	lpp2	14.04			2.07E+06	TB002	2024-01-29	
111-8487-18	MTB		TB	lpp2	12.53			5.53E+06	TB002	2024-01-29	
111-8431-18	MTB		TB	lpp2	13.64			2.69E+06	TB002	2024-01-29	
111-8840-18	MTB		TB	lpp2	13.41			3.12E+06	TB002	2024-01-29	
111-8764-18	MTB		TB	lpp2	10.77			1.74E+07	TB002	2024-01-29	
111-8468-18	MTB		TB	lpp2	9.24			4.70E+07	TB002	2024-01-29	
111-8852-18	MTB		TB	lpp2	12.14			7.14E+06	TB002	2024-01-29	
111-8522-18	MTB		TB	lpp2	11.12			1.39E+07	TB002	2024-01-29	
111-8366-18	MTB		TB	lpp2	11.35			4.93E+07	TB003	2024-03-04	
111-8103-18	MTB		TB	lpp2	12.42			5.93E+06	TB002	2024-01-29	
111-8969-18	MTB		TB	lpp2	10.26			2.42E+07	TB002	2024-01-29	
111-8080-18	MTB		TB	lpp2	10.67			1.86E+07	TB002	2024-01-29	
111-9974-18	MTB		TB	lpp2	10.16			2.58E+07	TB002	2024-01-29	
111-8958-18	MTB		TB	lpp2	10.97			1.53E+07	TB002	2024-01-29	
111-8305-18	MTB		TB	lpp2	9.33			4.43E+07	TB002	2024-01-29	
111-8777-18	MTB		TB	lpp2	9.38			4.28E+07	TB002	2024-01-29	
111-8951-18	MTB		TB	lpp2	9.44			4.14E+07	TB002	2024-01-29	
111-9725-18	MTB		TB	lpp2	10.59			1.96E+07	TB002	2024-01-29	
111-9083-18	MTB		TB	lpp2	13.04			3.98E+06	TB002	2024-01-29	
111-8018-18	MTB		TB	lpp2	9.08			5.22E+07	TB002	2024-01-29	
111-8900-18	MTB		TB	lpp2	8.10			3.57E+08	TB003	2024-03-04	
444-3065-18	MTB		TB	lpp2	9.82			3.21E+07	TB002	2024-01-29	
444-3776-18	MTB		TB	lpp2	14.75			1.31E+06	TB002	2024-01-29	
444-3271-18	MTB		TB	lpp2	11.33			1.21E+07	TB002	2024-01-29	
444-3866-18	MTB		TB	lpp2	12.74			4.82E+06	TB002	2024-01-29	
444-2768-18	MTB		TB	lpp2	14.11			1.98E+06	TB002	2024-01-29	
444-3284-18	MTB		TB	lpp2	10.39			2.22E+07	TB002	2024-01-29	
111-5271-18	MTB		TB	lpp2	10.55			2.01E+07	TB002	2024-01-29	
111-9037-18	MTB		TB	lpp2	11.11			1.40E+07	TB002	2024-01-29	
111-9508-18	MTB		TB	lpp2	9.07			5.25E+07	TB002	2024-01-29	
111-7963-18	MTB		TB	lpp2	10.20			2.52E+07	TB002	2024-01-29	
111-5118-18	MTB		TB	lpp2	8.06			3.65E+08	TB003	2024-03-04	
444-4076-18	MTB		TB	lpp2	12.41			2.59E+07	TB003	2024-03-04	
Peru-1	MTB		TB	lpp2	27.84			584.717684	TB004	2024-06-10	
Peru-2	MTB		TB	lpp2	24.02			7194.70525	TB004	2024-06-10	
Peru-3	MTB		TB	lpp2	21.11			48601.9708	TB004	2024-06-10	
Peru-4	MTB		TB	lpp2	20.57			69598.8056	TB004	2024-06-10	
Peru-5	MTB		TB	lpp2	17.50			522728.892	TB004	2024-06-10	
Peru-6	MTB		TB	lpp2	17.30			594974.684	TB004	2024-06-10	
Peru-7	MTB		TB	lpp2	17.96			386805.495	TB004	2024-06-10	
