original_id	2e-08_Amplicon	2e-08_Unamplified	1e-07_Amplicon	1e-07_Unamplified	1e-06_Amplicon	1e-06_Unamplified	1e-05_Amplicon	1e-05_Unamplified	1e-04_Amplicon	1e-04_Unamplified	0.001_Amplicon	0.001_Unamplified	0.01_Amplicon	0.01_Unamplified	0.1_Amplicon	0.1_Unamplified
111-5264-18	43.1923	0.00546295	68.8431	0.0998746	94.9093	3.73265	97.2068	35.9998	97.6905	97.1127	97.704	97.7104	97.6488	97.7681	97.7316	97.7768
111-10712-18	12.2142	0.0853218	66.3808	0.563727	94.1458	10.4699	96.321	77.4591	97.9071	96.8753	98.092	98.0969	98.0981	98.106	98.0638	98.1092
