method	meanquant	std_dev_quant	std_err_quant	meancov	std_dev_cov	std_err_cov
A	257902.4557244	257298.00333680405	81364.77279579046	44.72021	28.559634273702923	9.031349344630993
B	246990.665489707	420589.2826177797	133002.00925284496	54.1281466	42.074506817588144	13.305127297186115
C	669173.1958138	1433435.077155816	453291.97217915737	63.917289999999994	35.4105354246272	11.19779451078996
D	301170.180873605	521884.59012187034	165034.39805285216	51.391276930000004	41.09225601463057	12.994512320098597
E	101611.5966662	79049.94913866221	24997.78881986381	88.029	20.065272072247947	6.345196161927016
F	139243.3301649	128309.9746409804	40575.17663839436	74.905	23.57115292046615	7.453853030480276
